,fake,company_id,industry_id,domain_id,country_id,bias_id,factual_id
92,3,21,2,9,0,0,0
93,1,41,2,9,0,0,0
94,85,54,2,9,0,0,0
95,4,65,2,9,0,0,0
96,2,70,2,9,0,0,0
97,2,22,3,9,0,0,0
98,7,30,3,9,0,0,0
99,1,74,3,9,0,0,0
100,16,4,4,9,0,0,0
101,1,10,4,9,0,0,0
102,1,15,4,9,0,0,0
103,2,48,4,9,0,0,0
104,1,64,4,9,0,0,0
105,5,67,4,9,0,0,0
106,2,78,4,9,0,0,0
107,5,88,4,9,0,0,0
108,1,46,5,9,0,0,0
109,4,24,6,9,0,0,0
110,238,39,6,9,0,0,0
111,7,75,6,9,0,0,0
112,4,27,7,9,0,0,0
113,2,58,7,9,0,0,0
114,9,85,7,9,0,0,0
115,6,32,8,9,0,0,0
116,1,16,0,78,0,0,0
117,1,5,1,78,0,0,0
118,1,7,2,78,0,0,0
119,17,70,2,78,0,0,0
120,3,88,4,78,0,0,0
121,8,39,6,78,0,0,0
122,2,27,7,78,0,0,0
123,1,16,0,84,0,0,0
124,1,5,1,84,0,0,0
125,1,68,1,84,0,0,0
126,4,39,6,84,0,0,0
127,2,16,0,25,0,0,0
128,1,77,0,25,0,0,0
129,1,2,2,25,0,0,0
130,3,7,2,25,0,0,0
131,1,45,2,25,0,0,0
132,6,54,2,25,0,0,0
133,2,70,2,25,0,0,0
134,1,82,2,25,0,0,0
135,2,84,2,25,0,0,0
136,3,30,3,25,0,0,0
137,14,4,4,25,0,0,0
138,1,43,4,25,0,0,0
139,2,50,4,25,0,0,0
140,1,67,4,25,0,0,0
141,12,39,6,25,0,0,0
142,1,75,6,25,0,0,0
143,1,72,8,25,0,0,0
144,2,36,0,151,0,0,0
145,5,54,2,151,0,0,0
146,1,70,2,151,0,0,0
147,1,46,5,151,0,0,0
148,11,39,6,151,0,0,0
149,9,75,6,151,0,0,0
150,1,77,0,29,0,0,0
151,1,84,2,29,0,0,0
152,3,4,4,29,0,0,0
153,1,39,6,29,0,0,0
154,1,58,7,29,0,0,0
155,10,1,1,15,0,0,0
156,1,63,4,15,0,0,0
157,1,39,6,15,0,0,0
158,1,5,1,80,0,0,0
159,2,50,4,80,0,0,0
160,28,39,6,80,0,0,0
161,2,5,1,81,0,0,0
162,2,19,3,81,0,0,0
163,36,39,6,81,0,0,0
164,1,5,1,83,0,0,0
165,1,78,4,83,0,0,0
166,4,75,6,83,0,0,0
167,1,68,1,211,0,0,0
168,1,50,4,211,0,0,0
169,1,39,6,211,0,0,0
170,12,7,2,31,0,0,0
171,5,65,2,31,0,0,0
172,21,84,2,31,0,0,0
173,2,47,3,31,0,0,0
174,4,4,4,31,0,0,0
175,1,67,4,31,0,0,0
176,3,88,4,31,0,0,0
177,15,39,6,31,0,0,0
178,1,75,6,31,0,0,0
179,2,27,7,31,0,0,0
180,9,7,2,34,0,0,0
181,1,21,2,34,0,0,0
182,1,30,3,34,0,0,0
183,2,4,4,34,0,0,0
184,1,31,4,34,0,0,0
185,4,39,6,34,0,0,0
186,1,58,7,34,0,0,0
187,1,7,2,99,0,0,0
188,3,54,2,99,0,0,0
189,1,19,3,99,0,0,0
190,1,30,3,99,0,0,0
191,1,67,4,99,0,0,0
192,1,88,4,99,0,0,0
